METRIC SCORES  —  imputegap_eeg-alcohol_mcar_20pct
Evaluation: missing positions only  (1020/5120 = 19.9%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================================================================================================================================
METRIC           ZeroImpute          MeanImpute      MeanImputeBySeries      MinImpute         Interpolation           CDRec            IterativeSVD         SoftImpute             SVT                GROUSE              STMVL        
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MAE               0.803461            0.805096            0.808020            4.021180            0.170041            0.308735            0.307478            0.306501            0.242365            0.521680            0.179389      
RMSE              0.985196            0.988556            0.993214            4.137735            0.233838            0.388879            0.387719            0.385806            0.302428            0.654845            0.252435      
MSE               0.978085            0.984718            0.993582           17.136128            0.059534            0.172904            0.173015            0.171216            0.109016            0.458413            0.069907      
MRE               1.000000            1.379709            1.366004           71.681656            0.972627            5.733307            5.720076            5.465259            2.546190           10.256117            1.452320      
SMAPE            200.000000          186.955195          183.686479          166.057690          40.377128           64.718579           64.708102           64.875089           54.453560           93.105391           41.757096      
NRMSE             1.015862            1.019405            1.024550            4.302127            0.242036            0.399381            0.398394            0.396141            0.311351            0.672597            0.262726      
ND                1.000000            1.002162            1.006131            5.055220            0.214508            0.385613            0.384067            0.382455            0.303377            0.650334            0.227730      
WD                0.803461            0.805096            0.808020            4.021180            0.124949            0.139624            0.139836            0.144256            0.189188            0.237963            0.108109      
JSD               0.471146            0.471146            0.471146            0.693147            0.031460            0.039167            0.040874            0.043582            0.052507            0.068634            0.031499      
KLD              20.645524           20.645524           20.645524           25.185577            0.752465            0.600004            0.544935            0.899664            1.550522            1.480978            0.647766      
CRPS                n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a         
NLL                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a                 n/a         
ACF               0.065360            0.065734            0.066419            0.231045            0.012869            0.020854            0.020496            0.020030            0.011478            0.029450            0.011821      
DTW               4.397403            4.420789            4.440656           23.698942            1.270939            2.131968            2.119874            2.081618            1.556109            3.207086            1.300381      
SMAE              0.006725            0.006761            0.006819            0.022300            0.001335            0.002067            0.002072            0.002053            0.001412            0.003652            0.001416      
PEARSON           0.000000            0.000000              nan                 nan               0.974910            0.911600            0.911307            0.911561            0.961831            0.746198            0.964392      
MI                0.000000            0.000000            0.000000            0.000000            1.425110            1.135061            1.142068            1.133349            1.269670            0.830652            1.389307      
R2               -0.032174           -0.039459           -0.050175           -17.694785           0.936739            0.821597            0.821071            0.823542            0.886511            0.525825            0.923567      
TOST              0.629214            0.676730            0.696064            1.000000            0.055234            0.226025            0.215121            0.214373            0.125520            0.436953            0.100404      
BA (bias)        -0.108820           -0.135920           -0.135890            4.021180            0.001020            0.009305            0.007993            0.004006           -0.019733           -0.041411            0.001971      
BA (loa)          1.921242            1.921242            1.921242            1.921242            0.458049            0.759002            0.757806            0.754173            0.592623            1.279856            0.493123      
CDT               0.218827            0.249782            0.273270            5.857490            0.031512            0.051815            0.049977            0.049940            0.042251            0.097912            0.038987      
PFC               0.000000            0.000000            0.490196            0.000000           32.156863           19.607843           20.294118           19.901961           19.607843            7.450980           32.450980      
