METRIC SCORES  —  synthetic_blackout_20pct
Evaluation: missing positions only  (800/4000 = 20.0%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================
METRIC       constant_offset    random_spikes       time_shift       oversmoothed        shuffled      amplitude_scaled 
------------------------------------------------------------------------------------------------------------------------
MAE              4.000000          0.944915          4.224717          0.870473          7.032329          3.285052     
RMSE             4.000000          3.624540          4.908974          1.081145          8.565323          3.566140     
MSE             16.000000         17.937180         29.701581          1.388205         79.774850         14.152066     
MRE              0.292200          0.077202          0.316096          0.063766          0.538598          0.255438     
SMAPE           24.976853          6.394668         28.542562          6.192212         47.987529         32.144943     
NRMSE            1.942160          1.620446          1.801263          0.453265          3.800272          1.613197     
ND               0.276066          0.070016          0.300612          0.058585          0.496909          0.231757     
WD               4.000000          0.885982          2.235740          0.696038          5.224208          3.285052     
JSD              0.401392          0.020074          0.133764          0.132064          0.252319          0.308526     
KLD             12.017543          0.113559          4.102972          5.705422          2.094168          3.807022     
CRPS               n/a               n/a               n/a               n/a               n/a               n/a        
NLL                n/a               n/a               n/a               n/a               n/a               n/a        
ACF              0.000000          0.157933          0.082824          0.059684          0.496505          0.000000     
DTW             31.204339         50.562670         29.215617         10.444937         79.492518         35.303126     
SMAE             0.000000          0.016449          0.002686          0.004075          0.035094          0.000000     
PEARSON          1.000000          0.594712         -0.258722          0.894748         -0.031972          1.000000     
MI               1.354001          1.258404          0.836442          1.206751          0.516848          1.382357     
R2              -4.598942         -3.072047         -2.475985          0.750939         -17.972840        -2.612932     
TOST             1.000000          0.542826          0.872573          0.606581          0.949269          0.934188     
BA (bias)       -4.000000         -0.090470         -0.141731          0.088105          0.499520         -0.311230     
BA (loa)         0.000000          7.100468          8.088506          1.935590         13.283344          3.372883     
CDT              1.917729          0.112837          0.689431          0.146418          1.096349          1.051170     
PFC              0.000000         94.750000         26.125000         79.625000         17.375000         19.750000     
