METRIC SCORES  —  synthetic_full
Evaluation: missing positions only  (4000/4000 = 100.0%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================
METRIC       constant_offset    random_spikes       time_shift       oversmoothed        shuffled      amplitude_scaled 
------------------------------------------------------------------------------------------------------------------------
MAE              4.000000          0.870995          5.208345          0.878205          6.736010          3.106426     
RMSE             4.000000          3.895206          6.383099          1.127382          8.297316          3.483979     
MSE             16.000000         16.176409         44.368854          1.393254         73.392046         12.941131     
MRE              0.457186          0.091757          0.512542          0.096831          0.886275          0.386172     
SMAPE           29.972837          6.259336         38.619456          8.063740         48.592530         35.207807     
NRMSE            0.776000          0.670821          1.098718          0.211299          1.427960          0.600000     
ND               0.271767          0.059809          0.345180          0.058628          0.459383          0.213940     
WD               4.000000          0.636983          0.000000          0.588383          0.000000          3.106426     
JSD              0.222970          0.014545          0.000000          0.051849          0.000000          0.172505     
KLD              5.543721          0.042727          0.000000          1.989808          0.000000          0.733872     
CRPS               n/a               n/a               n/a               n/a               n/a               n/a        
NLL                n/a               n/a               n/a               n/a               n/a               n/a        
ACF              0.000000          0.157933          0.082824          0.059684          0.496505          0.000000     
DTW             31.204339         50.562670         29.215617         10.444937         79.492518         35.303126     
SMAE             0.000000          0.016449          0.002686          0.004075          0.035094          0.000000     
PEARSON          1.000000          0.827578          0.379001          0.976704         -0.020717          1.000000     
MI               1.869281          1.771219          0.915130          1.559149          0.455533          1.841575     
R2               0.262304          0.550000         -0.241999          0.947410         -1.041433          0.640000     
TOST             1.000000          0.079839          0.099367          0.000057          0.162059          0.009848     
BA (bias)       -4.000000          0.069428         -0.000000          0.000001         -0.000000          0.000000     
BA (loa)         0.000000          7.644136         12.542268          2.215213         16.303549          6.845734     
CDT              0.774057          0.025734          0.000000          0.000000          0.000000          0.000000     
PFC              0.000000         95.000000         19.425000         76.650000         18.875000         24.400000     
