METRIC SCORES  —  synthetic_mcar_20pct
Evaluation: missing positions only  (800/4000 = 20.0%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================
METRIC       constant_offset    random_spikes       time_shift       oversmoothed        shuffled      amplitude_scaled 
------------------------------------------------------------------------------------------------------------------------
MAE              4.000000          0.962797          5.001338          0.883630          6.494501          3.169158     
RMSE             4.000000          3.945703          6.065058          1.115204          8.031957          3.521019     
MSE             16.000000         17.719991         40.995848          1.372269         68.418545         13.268447     
MRE              0.544032          0.081948          0.510853          0.095384          1.122490          0.471692     
SMAPE           31.901754          7.123270         37.940756          8.524474         47.515544         39.194618     
NRMSE            0.787907          0.680008          1.064398          0.212477          1.419031          0.615663     
ND               0.289853          0.067199          0.341699          0.061847          0.470285          0.233665     
WD               4.000000          0.858652          1.439167          0.697797          1.523148          3.169158     
JSD              0.226936          0.016929          0.054420          0.058095          0.047448          0.187308     
KLD              5.731586          0.050827          0.872124          1.526842          0.457495          1.006540     
CRPS               n/a               n/a               n/a               n/a               n/a               n/a        
NLL                n/a               n/a               n/a               n/a               n/a               n/a        
ACF              0.000000          0.157933          0.082824          0.059684          0.496505          0.000000     
DTW             31.204339         50.562670         29.215617         10.444937         79.492518         35.303126     
SMAE             0.000000          0.016449          0.002686          0.004075          0.035094          0.000000     
PEARSON          1.000000          0.820783          0.435680          0.977843          0.027463          1.000000     
MI               1.590663          1.711088          1.120078          1.502976          0.832911          1.542361     
R2               0.249879          0.487419         -0.201968          0.946520         -1.031240          0.620726     
TOST             1.000000          0.406950          0.663280          0.092443          0.688207          0.549502     
BA (bias)       -4.000000          0.106883          0.028425         -0.061723         -0.426885          0.245236     
BA (loa)         0.000000          7.738659         11.734070          2.182772         15.643128          6.816637     
CDT              0.777996          0.068342          0.186712          0.031583          0.235250          0.086393     
PFC              0.000000         94.500000         21.750000         74.500000         19.625000         23.625000     
