METRIC SCORES  —  synthetic_scattered_20pct
Evaluation: missing positions only  (800/4000 = 20.0%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================
METRIC       constant_offset    random_spikes       time_shift       oversmoothed        shuffled      amplitude_scaled 
------------------------------------------------------------------------------------------------------------------------
MAE              4.000000          0.847670          5.355599          0.949426          6.331527          2.684196     
RMSE             4.000000          3.602484          6.124228          1.144754          7.711820          2.983322     
MSE             16.000000         15.470582         44.405678          1.549121         64.631697         10.176798     
MRE              0.327898          0.063948          0.414619          0.076138          0.536886          0.218112     
SMAPE           27.045152          5.850577         37.983822          7.315708         45.147947         26.920292     
NRMSE            1.588465          1.287683          1.978640          0.414605          2.764224          1.047516     
ND               0.297158          0.057493          0.384139          0.067130          0.472149          0.190306     
WD               4.000000          0.842321          3.909199          0.809865          4.053675          2.684196     
JSD              0.375291          0.017558          0.191760          0.137761          0.199130          0.218477     
KLD             11.723689          0.052176          6.113145          5.845627          1.029979          1.504827     
CRPS               n/a               n/a               n/a               n/a               n/a               n/a        
NLL                n/a               n/a               n/a               n/a               n/a               n/a        
ACF              0.000000          0.157933          0.082824          0.059684          0.496505          0.000000     
DTW             31.204339         50.562670         29.215617         10.444937         79.492518         35.303126     
SMAE             0.000000          0.016449          0.002686          0.004075          0.035094          0.000000     
PEARSON          1.000000          0.712989          0.033184          0.907477          0.068363          1.000000     
MI               1.391173          1.327879          0.899133          1.304797          0.585382          1.494986     
R2              -2.280362         -1.383607         -3.341547          0.776419         -8.361913         -0.364507     
TOST             1.000000          0.520253          0.937872          0.431774          0.947231          0.932318     
BA (bias)       -4.000000         -0.050551          0.161485         -0.008557         -0.879478          0.181103     
BA (loa)         0.000000          7.054989          8.173153          2.109956         13.230949          3.951940     
CDT              1.568483          0.109674          0.981600          0.115143          0.725719          0.569589     
PFC              0.000000         95.125000         16.125000         75.750000         20.250000         29.375000     
